ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Root
Azeri-1_firen-1-1,Azeri-1_firen-1,od,5,false,expert,,,,,*o:t
BarabaTatar-1_firen-1-1,BarabaTatar-1_firen-1,ot,5,false,expert,,,,,*o:t
Bashkir-1_firen-1-1,Bashkir-1_firen-1,ut,5,false,expert,,,,,*o:t
Chuvash-1_firen-1-1,Chuvash-1_firen-1,vut,5,false,expert,,,,,*o:t
CodexCumanicus-1_firen-1-1,CodexCumanicus-1_firen-1,ot,5,false,expert,,,,,*o:t
Dolgan-1_firen-1-1,Dolgan-1_firen-1,uot,5,false,expert,,,,,*o:t
KarachayBalkar-1_firen-1-1,KarachayBalkar-1_firen-1,ot,5,false,expert,,,,,*o:t
Karaim-1_firen-1-1,Karaim-1_firen-1,ot,5,false,expert,,,,,*o:t
KaraKalpak-1_firen-1-1,KaraKalpak-1_firen-1,ot,5,false,expert,,,,,*o:t
Kazakh-1_firen-1-1,Kazakh-1_firen-1,ot,5,false,expert,,,,,*o:t
KazanTatar-1_firen-1-1,KazanTatar-1_firen-1,ut,5,false,expert,,,,,*o:t
Khakas-1_firen-1-1,Khakas-1_firen-1,ot,5,false,expert,,,,,*o:t
Khalaj-1_firen-1-1,Khalaj-1_firen-1,hu:ot,5,false,expert,,,,,*o:t
Kirghiz-1_firen-1-1,Kirghiz-1_firen-1,ot,5,false,expert,,,,,*o:t
Kumyk-1_firen-1-1,Kumyk-1_firen-1,ot,5,false,expert,,,,,*o:t
MiddleChulym-1_firen-1-1,MiddleChulym-1_firen-1,ot,5,false,expert,,,,,*o:t
Nogai-1_firen-1-1,Nogai-1_firen-1,ot,5,false,expert,,,,,*o:t
NorthAltai-1_firen-1-1,NorthAltai-1_firen-1,ot,5,false,expert,,,,,*o:t
OldTurkic-1_firen-1-1,OldTurkic-1_firen-1,ot,5,false,expert,,,,,*o:t
Salar-1_firen-1-1,Salar-1_firen-1,ot,5,false,expert,,,,,*o:t
Shor-1_firen-1-1,Shor-1_firen-1,ot,5,false,expert,,,,,*o:t
SouthAltai-1_firen-1-1,SouthAltai-1_firen-1,ot,5,false,expert,,,,,*o:t
