ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Orok-2_nosen-1,,Orok,2_nosen,huriga(n) ~ hureː,huriga,h u r i g a,,,10,,^ h u r i g a $,default
Oroch-2_nosen-1,,Oroch,2_nosen,ŋikso,ŋikso,ŋ i k s o,,,11,,^ ŋ i ks o $,default
Solon-2_nosen-1,,Solon,2_nosen,niːnša,niːnša,n iː n š/ʃ a,,,11,,^ n iː n š a $,default
Udihe-2_nosen-1,,Udihe,2_nosen,ŋö,ŋö,ŋ ö/œ,,,11,,^ ŋ ö $,default
Ulcha-2_nosen-1,,Ulcha,2_nosen,waksa,waksa,w a k s a,,,11,,^ w a ks a $,default
Jurchen-2_nosen-1,,Jurchen,2_nosen,suŋgi,suŋgi,s u ŋ g i,,,12,,^ s u ŋ g i $,default
EasternEvenki-2_nosen-1,,EasternEvenki,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,,13,,^ o ŋ o k t o $,default
Even-2_nosen-1,,Even,2_nosen,ọŋat,ọŋat,ọ/o ŋ a t,,,13,,^ ọ ŋ a t $,default
EvenkiKamnigan-2_nosen-1,,EvenkiKamnigan,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,,13,,^ o ŋ o k t o $,default
Negidal-2_nosen-1,,Negidal,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,,13,,^ o ŋ o k t o $,default
NorthernEvenkiTura-2_nosen-1,,NorthernEvenkiTura,2_nosen,oňokto,oňokto,o ň/n o k t o,,,13,,^ o ň o k t o $,default
NorthernEvenkiTutonchany-2_nosen-1,,NorthernEvenkiTutonchany,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,,13,,^ o ŋ o k t o $,default
Oroqen-2_nosen-1,,Oroqen,2_nosen,ɔŋɔktɔ,ɔŋɔktɔ,ɔ ŋ ɔ k t ɔ,,,13,,^ ɔ ŋ ɔ k t ɔ $,default
SouthernEvenkiChiringda-2_nosen-1,,SouthernEvenkiChiringda,2_nosen,oŋoktɒ,oŋoktɒ,o ŋ o k t ɒ,,,13,,^ o ŋ o k t ɒ $,default
SouthernEvenkiVershinaTuturyBaikal-2_nosen-1,,SouthernEvenkiVershinaTuturyBaikal,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,,13,,^ o ŋ o k t o $,default
StonyEvenkiPTPodkamennayaTunguska-2_nosen-1,,StonyEvenkiPTPodkamennayaTunguska,2_nosen,oŋokto,oŋokto,o ŋ o k t o,,,13,,^ o ŋ o k t o $,default
Hezhe-2_nosen-1,,Hezhe,2_nosen,ofurə,ofurə,o f u r ə,,,14,,^ o f u r ə $,default
KurUrmi-2_nosen-1,,KurUrmi,2_nosen,oforo,oforo,o f o r o,,,14,,^ o f o r o $,default
Manchu-2_nosen-1,,Manchu,2_nosen,oforo,oforo,o f o r o,,,14,,^ o f o r o $,default
NanaiBikin-2_nosen-1,,NanaiBikin,2_nosen,oforo,oforo,o f o r o,,,14,,^ o f o r o $,default
NanaiMiddleAmur-2_nosen-1,,NanaiMiddleAmur,2_nosen,oporo,oporo,o p o r o,,,14,,^ o p o r o $,default
Xibe-2_nosen-1,,Xibe,2_nosen,ovur,ovur,o v u r,,,14,,^ o v u r $,default
Baoan-2_nosen-1,,Baoan,2_nosen,xawar,xawar,x a w a r,,,15,,^ x a w a r $,default
Buriat-2_nosen-1,,Buriat,2_nosen,xamar,xamar,x a m a r,,,15,,^ x a m a r $,default
Dagur-2_nosen-1,,Dagur,2_nosen,hamara,hamara,h a m a r a,,,15,,^ h a m a r a $,default
Dongxian-2_nosen-1,,Dongxian,2_nosen,qawa,qawa,q a w a,,,15,,^ q a w a $,default
Huzhu-2_nosen-1,,Huzhu,2_nosen,hawari,hawari,h a w a r i,,,15,,^ h a w a r i $,default
Kalmyck-2_nosen-1,,Kalmyck,2_nosen,xamr,xamr,x a m r,,,15,,^ x a m r $,default
Kamnigan-2_nosen-1,,Kamnigan,2_nosen,kamar,kamar,k a m a r,,,15,,^ k a m a r $,default
Kangjia-2_nosen-1,,Kangjia,2_nosen,χuar,χuar,χ u/w a r,,,15,,^ χ ua r $,default
Khalkha-2_nosen-1,,Khalkha,2_nosen,xamar,xamar,x a m a r,,,15,,^ x a m a r $,default
MiddleMongolianMuqaddimataladab-2_nosen-1,,MiddleMongolianMuqaddimataladab,2_nosen,qabar,qabar,q a b a r,,,15,,^ q a b a r $,default
MiddleMongolianSecretHistory-2_nosen-1,,MiddleMongolianSecretHistory,2_nosen,qabar,qabar,q a b a r,,,15,,^ q a b a r $,default
Minhe-2_nosen-1,,Minhe,2_nosen,khaber,khaber,kʰ a b e r,,,15,,^ kh a b e r $,default
Moghol-2_nosen-1,,Moghol,2_nosen,qabar,qabar,q a b a r,,,15,,^ q a b a r $,default
Oirat-2_nosen-1,,Oirat,2_nosen,xamar,xamar,x a m a r,,,15,,^ x a m a r $,default
ShiraYughur-2_nosen-1,,ShiraYughur,2_nosen,xawar,xawar,x a w a r,,,15,,^ x a w a r $,default
Tofa-2_nosen-1,,Tofa,2_nosen,haay,haay,h aay/aːi,,,16,,^ h aay $,default
Tuvan-2_nosen-1,,Tuvan,2_nosen,χaay,χaay,χ aay/aːi,,,16,,^ χ aay $,default
WestYugur-2_nosen-1,,WestYugur,2_nosen,ḳaŋrïḳ,ḳaŋrïḳ,ḳ/q a ŋ r ï/ɨ ḳ/q,,,16,,^ ḳ a ŋ r ï ḳ $,default
Azeri-2_nosen-1,,Azeri,2_nosen,burun,burun,b u r u n,,,17,,^ b u r u n $,default
BarabaTatar-2_nosen-1,,BarabaTatar,2_nosen,"morïn, murïn",morïn,m o r ï/ɨ n,,,17,,^ m o r ï n $,default
CodexCumanicus-2_nosen-1,,CodexCumanicus,2_nosen,burun,burun,b u r u n,,,17,,^ b u r u n $,default
CrimeanTatar-2_nosen-1,,CrimeanTatar,2_nosen,burun,burun,b u r u n,,,17,,^ b u r u n $,default
Dolgan-2_nosen-1,,Dolgan,2_nosen,munnu,munnu,m u nː u,,,17,,^ m u nn u $,default
Gagauz-2_nosen-1,,Gagauz,2_nosen,burnu,burnu,b u r n u,,,17,,^ b u r n u $,default
KarachayBalkar-2_nosen-1,,KarachayBalkar,2_nosen,burun,burun,b u r u n,,,17,,^ b u r u n $,default
Karaim-2_nosen-1,,Karaim,2_nosen,burun,burun,b u r u n,,,17,,^ b u r u n $,default
KaraKalpak-2_nosen-1,,KaraKalpak,2_nosen,murïn,murïn,m u r ï/ɨ n,,,17,,^ m u r ï n $,default
Kazakh-2_nosen-1,,Kazakh,2_nosen,murïn,murïn,m u r ï/ɨ n,,,17,,^ m u r ï n $,default
KazanTatar-2_nosen-1,,KazanTatar,2_nosen,borïn,borïn,b o r ï/ɨ n,,,17,,^ b o r ï n $,default
Khakas-2_nosen-1,,Khakas,2_nosen,purun,purun,p u r u n,,,17,,^ p u r u n $,default
